Date,Open,High,Low,Close,Adj Close,Volume
2010-03-23,1.750000,1.890000,1.740000,1.890000,1.890000,1651773
2010-03-24,1.860000,2.020000,1.830000,2.010000,2.010000,5782629
2010-03-25,2.090000,2.290000,2.040000,2.210000,2.210000,7470158
2010-03-26,2.260000,2.270000,2.020000,2.100000,2.100000,949270
2010-03-29,2.140000,2.240000,2.090000,2.180000,2.180000,1276371
2010-03-30,2.220000,2.270000,2.220000,2.220000,2.220000,783147
2010-03-31,2.250000,2.250000,2.100000,2.220000,2.220000,967002
2010-04-01,2.250000,2.500000,2.250000,2.450000,2.450000,3302782
2010-04-05,2.510000,2.670000,2.500000,2.520000,2.520000,2308969
2010-04-06,2.580000,2.600000,2.540000,2.550000,2.550000,660927
2010-04-07,2.600000,2.600000,2.520000,2.530000,2.530000,1639258
2010-04-08,2.530000,2.530000,2.280000,2.420000,2.420000,1694278
2010-04-09,2.450000,2.530000,2.400000,2.450000,2.450000,1420584
2010-04-12,2.430000,2.490000,2.430000,2.480000,2.480000,898253
2010-04-13,2.500000,2.500000,2.430000,2.440000,2.440000,299261
2010-04-14,2.440000,2.450000,2.350000,2.390000,2.390000,432570
2010-04-15,2.350000,2.410000,2.200000,2.380000,2.380000,795391
2010-04-16,2.420000,2.560000,2.340000,2.500000,2.500000,2469736
2010-04-19,2.440000,2.500000,2.360000,2.500000,2.500000,963130
2010-04-20,2.460000,2.510000,2.460000,2.500000,2.500000,726169
2010-04-21,2.500000,2.560000,2.400000,2.400000,2.400000,1053285
2010-04-22,2.380000,2.450000,2.370000,2.440000,2.440000,736381
2010-04-23,2.450000,2.500000,2.450000,2.500000,2.500000,504715
2010-04-26,2.500000,2.500000,2.420000,2.440000,2.440000,578186
2010-04-27,2.460000,2.460000,2.390000,2.440000,2.440000,774006
2010-04-28,2.420000,2.430000,2.350000,2.350000,2.350000,372855
2010-04-29,2.340000,2.350000,2.250000,2.250000,2.250000,1156092
2010-04-30,2.250000,2.310000,2.220000,2.230000,2.230000,742969
2010-05-03,2.210000,2.280000,2.210000,2.250000,2.250000,621652
2010-05-04,2.240000,2.240000,2.090000,2.170000,2.170000,1030432
2010-05-05,2.130000,2.230000,2.110000,2.200000,2.200000,339291
2010-05-06,2.210000,2.210000,1.750000,2.040000,2.040000,1079000
2010-05-07,2.060000,2.110000,1.950000,1.950000,1.950000,1080757
2010-05-10,2.170000,2.170000,2.100000,2.160000,2.160000,1011591
2010-05-11,2.180000,2.200000,2.120000,2.140000,2.140000,383893
2010-05-12,2.160000,2.190000,2.140000,2.140000,2.140000,270781
2010-05-13,2.240000,2.240000,2.100000,2.160000,2.160000,1206883
