Date,Open,High,Low,Close,Adj Close,Volume
2008-12-22,8.650000,8.670000,7.710000,8.020000,7.378077,13061600
2008-12-23,8.070000,8.240000,7.790000,7.910000,7.276882,9436300
2008-12-24,7.750000,7.940000,7.560000,7.720000,7.102088,3665400
2008-12-26,7.720000,7.820000,7.300000,7.510000,6.908895,5653900
2008-12-29,7.610000,7.750000,7.120000,7.750000,7.129685,11504200
2008-12-30,7.850000,8.140000,7.670000,8.020000,7.378077,10246500
2008-12-31,7.920000,8.270000,7.780000,8.070000,7.424072,11039500
2009-01-02,8.070000,8.770000,8.040000,8.710000,8.012848,12428100
2009-01-05,8.610000,9.070000,8.550000,8.870000,8.160039,17643400
2009-01-06,9.130000,9.430000,8.930000,9.170000,8.436028,16447600
2009-01-07,8.960000,8.960000,8.310000,8.620000,7.930050,21752400
2009-01-08,8.510000,8.510000,7.880000,8.400000,7.727660,25362400
2009-01-09,8.400000,8.400000,7.910000,7.930000,7.295280,19033800
2009-01-12,7.930000,7.970000,7.500000,7.610000,7.000892,16138300
2009-01-13,7.350000,7.940000,7.210000,7.650000,7.037691,45610600
2009-01-14,7.380000,7.470000,7.200000,7.310000,6.724903,24372700
2009-01-15,7.350000,7.690000,7.200000,7.570000,6.964094,24955100
2009-01-16,7.780000,8.060000,7.530000,7.990000,7.350476,20783100
2009-01-20,7.970000,8.000000,7.150000,7.210000,6.632908,17644700
2009-01-21,7.350000,7.610000,7.080000,7.560000,6.954895,16211800
2009-01-22,7.320000,7.620000,7.150000,7.420000,6.826100,13691400
2009-01-23,7.210000,7.940000,7.200000,7.710000,7.092888,15840400
2009-01-26,7.750000,8.200000,7.620000,7.970000,7.332077,14543700
2009-01-27,8.100000,8.500000,8.070000,8.440000,7.764460,18132500
2009-01-28,8.740000,8.930000,8.460000,8.790000,8.086445,18093800
2009-01-29,8.500000,8.600000,8.240000,8.280000,7.617264,10328200
2009-01-30,8.220000,8.440000,7.850000,7.950000,7.313677,12669000
2009-02-02,7.830000,8.470000,7.790000,8.380000,7.709260,14449800
2009-02-03,8.400000,8.550000,8.170000,8.480000,7.801256,9923700
