Date,Open,High,Low,Close,Adj Close,Volume
2010-07-29,8.630000,8.670000,8.410000,8.590000,6.379833,181500
2010-07-30,8.440000,8.680000,8.420000,8.620000,6.402112,276100
2010-08-02,8.750000,8.930000,8.640000,8.650000,6.424396,224400
2010-08-03,8.630000,8.860000,8.510000,8.700000,6.461529,217100
2010-08-04,8.730000,9.010000,8.620000,9.000000,6.684340,279000
2010-08-05,9.160000,9.270000,8.850000,9.000000,6.684340,315100
2010-08-06,9.380000,9.380000,8.850000,8.950000,6.647206,168700
2010-08-09,9.050000,9.270000,8.920000,9.060000,6.728903,130800
2010-08-10,9.020000,9.070000,8.570000,8.700000,6.461529,178000
2010-08-11,8.530000,8.650000,8.230000,8.410000,6.246145,368100
2010-08-12,8.260000,8.720000,8.200000,8.700000,6.461529,465500
2010-08-13,8.640000,8.640000,8.360000,8.460000,6.283281,195500
2010-08-16,8.390000,8.630000,8.390000,8.580000,6.372405,122700
2010-08-17,8.700000,8.790000,8.570000,8.760000,6.506092,101600
2010-08-18,8.770000,8.770000,8.490000,8.580000,6.372405,119800
2010-08-19,8.520000,8.560000,8.420000,8.420000,6.253571,548500
2010-08-20,8.400000,8.520000,8.260000,8.300000,6.164449,202100
2010-08-23,8.350000,8.520000,8.350000,8.380000,6.223865,177800
2010-08-24,8.230000,8.490000,8.230000,8.380000,6.223865,95600
2010-08-25,8.300000,8.400000,7.960000,8.370000,6.216438,298000
2010-08-26,8.390000,8.820000,8.390000,8.700000,6.461529,165300
2010-08-27,8.830000,9.100000,8.700000,9.080000,6.743756,242600
2010-08-30,9.010000,9.140000,8.730000,8.730000,6.483810,109400
2010-08-31,8.710000,8.800000,8.510000,8.720000,6.476384,111900
2010-09-01,8.840000,9.220000,8.700000,9.220000,6.847735,137600
2010-09-02,9.160000,9.230000,9.030000,9.120000,6.773465,77800
2010-09-03,9.230000,9.510000,9.130000,9.470000,7.033411,131600
2010-09-07,9.450000,9.450000,8.860000,8.880000,6.595217,108500
2010-09-08,8.940000,8.970000,8.650000,8.710000,6.468956,165600
2010-09-09,8.860000,8.860000,8.650000,8.700000,6.461529,55000
2010-09-10,8.710000,8.800000,8.590000,8.760000,6.506092,96500
2010-09-13,8.850000,8.870000,8.640000,8.770000,6.513518,180500
2010-09-14,8.760000,8.760000,8.540000,8.660000,6.431821,137600
2010-09-15,8.660000,8.850000,8.600000,8.800000,6.535799,263100
2010-09-16,8.800000,8.810000,8.590000,8.710000,6.468956,83400
2010-09-17,8.820000,9.090000,8.550000,8.780000,6.520945,369800
2010-09-20,8.840000,9.350000,8.820000,9.290000,6.899724,313900
2010-09-21,9.310000,9.520000,9.150000,9.300000,6.907153,198500
2010-09-22,9.290000,9.330000,8.610000,9.170000,6.810599,79300
2010-09-23,9.100000,9.330000,8.980000,9.070000,6.736330,85000
2010-09-24,9.210000,9.260000,9.050000,9.210000,6.840310,181000
2010-09-27,9.240000,9.290000,9.110000,9.250000,6.870017,82700
2010-09-28,9.300000,9.460000,9.000000,9.430000,7.003706,82200
2010-09-29,9.370000,9.390000,9.170000,9.240000,6.862590,121900
2010-09-30,9.350000,9.500000,9.120000,9.470000,7.033411,197700
2010-10-01,9.500000,9.530000,9.320000,9.510000,7.063119,97600
2010-10-04,9.470000,9.510000,9.180000,9.330000,6.929432,95900
2010-10-05,9.460000,9.760000,9.380000,9.690000,7.196805,212200
2010-10-06,9.660000,9.660000,9.310000,9.560000,7.100257,194900
2010-10-07,9.650000,9.790000,9.520000,9.710000,7.211661,96900
2010-10-08,9.740000,9.880000,9.520000,9.830000,7.300786,92800
2010-10-11,9.820000,10.000000,9.760000,9.900000,7.352774,110700
2010-10-12,9.830000,9.830000,9.510000,9.810000,7.285930,113400
2010-10-13,9.850000,10.360000,9.760000,10.300000,7.649857,290500
2010-10-14,10.250000,10.440000,10.130000,10.260000,7.620149,136500
2010-10-15,10.400000,10.410000,10.070000,10.090000,7.493887,199400
2010-10-18,10.140000,10.530000,10.110000,10.530000,7.820679,111200
2010-10-19,10.350000,10.570000,10.280000,10.400000,7.724128,181200
2010-10-20,10.460000,10.960000,10.400000,10.890000,8.088053,284800
2010-10-21,10.960000,11.150000,10.890000,11.080000,8.229167,391200
2010-10-22,11.150000,11.220000,10.950000,11.150000,8.281153,201500
2010-10-25,11.200000,11.480000,11.200000,11.300000,8.392562,110000
2010-10-26,11.210000,11.450000,11.180000,11.420000,8.481685,255900
2010-10-27,11.330000,11.520000,10.850000,11.290000,8.385134,233800
2010-10-28,11.430000,11.430000,10.800000,10.820000,8.036064,117200
2010-10-29,10.770000,10.910000,10.730000,10.850000,8.058346,165200
2010-11-01,10.940000,10.940000,10.430000,10.510000,7.805826,168700
2010-11-02,10.650000,10.810000,10.500000,10.750000,7.984075,188400
2010-11-03,10.790000,10.910000,10.640000,10.830000,8.043490,92200
2010-11-04,11.040000,11.930000,11.040000,11.600000,8.615373,873000
2010-11-05,11.590000,11.880000,11.440000,11.640000,8.645082,287900
2010-11-08,11.560000,11.880000,11.560000,11.810000,8.771339,296500
2010-11-09,11.510000,11.980000,11.500000,11.620000,8.630224,198600
2010-11-10,11.680000,12.070000,11.630000,12.020000,8.927308,306900
2010-11-11,11.850000,11.960000,11.740000,11.740000,8.719353,65300
2010-11-12,11.600000,11.740000,11.340000,11.500000,8.541101,92200
2010-11-15,11.620000,11.770000,11.410000,11.570000,8.593093,89100
2010-11-16,11.450000,11.580000,11.380000,11.520000,8.555958,195800
2010-11-17,11.560000,11.760000,11.560000,11.670000,8.667362,216000
2010-11-18,11.800000,12.050000,11.700000,11.810000,8.771339,237200
2010-11-19,11.770000,12.040000,11.640000,12.000000,8.912453,388200
2010-11-22,11.930000,12.040000,11.760000,11.950000,8.875319,115500
2010-11-23,11.800000,11.950000,11.570000,11.830000,8.786195,113400
2010-11-24,11.960000,12.090000,11.920000,12.020000,8.927308,188800
2010-11-26,12.000000,12.140000,11.860000,12.030000,8.934734,89800
2010-11-29,11.950000,12.190000,11.900000,12.180000,9.046142,153000
2010-11-30,12.010000,12.150000,11.910000,12.120000,9.001581,237800
2010-12-01,12.260000,12.470000,12.190000,12.260000,9.105558,193900
2010-12-02,12.300000,12.460000,12.240000,12.410000,9.216961,122800
2010-12-03,12.380000,12.500000,12.210000,12.490000,9.276381,132400
2010-12-06,12.460000,12.480000,12.280000,12.350000,9.172403,363600
2010-12-07,12.170000,12.500000,11.910000,11.990000,8.905029,262400
2010-12-08,12.000000,12.310000,11.950000,12.240000,9.090702,148900
2010-12-09,12.350000,12.350000,12.000000,12.090000,8.979300,193900
2010-12-10,12.110000,12.230000,11.970000,12.030000,8.934734,251000
2010-12-13,12.110000,12.110000,11.950000,11.970000,8.890172,77800
2010-12-14,12.040000,12.260000,11.950000,12.240000,9.090702,113200
2010-12-15,12.250000,12.490000,12.140000,12.480000,9.268953,199100
2010-12-16,12.530000,12.570000,12.290000,12.570000,9.335793,223500
2010-12-17,12.590000,12.610000,12.300000,12.510000,9.291234,271000
2010-12-20,12.610000,12.770000,12.420000,12.630000,9.380357,243600
2010-12-21,12.740000,13.140000,12.740000,13.000000,9.655159,283700
2010-12-22,13.020000,13.580000,12.980000,13.490000,10.019085,222300
