Date,Open,High,Low,Close,Adj Close,Volume
2010-07-19,28.438211,28.658073,28.104624,28.574678,18.485430,3365100
2010-07-20,28.278999,28.938589,28.157696,28.900682,18.696329,4260700
2010-07-21,28.968916,29.226686,28.529188,28.658073,18.539379,5928600
2010-07-22,28.794540,29.363153,27.862017,28.400303,18.372623,13145500
2010-07-23,28.476118,28.976498,28.142532,28.855194,18.666904,7774900
2010-07-26,28.885519,29.355572,28.809704,29.264595,18.931747,7712900
2010-07-27,29.340410,29.522366,28.984079,29.044731,18.789513,5822000
2010-07-28,28.961334,29.135710,28.627748,28.824867,18.647280,7401500
2010-07-29,29.044731,29.226686,28.771797,29.021986,18.774805,6232900
2010-07-30,28.574678,29.188780,28.506445,29.120546,18.838562,7098900
2010-08-02,29.461714,29.628506,29.264595,29.575436,19.132833,6693900
2010-08-03,29.552691,29.575436,29.219105,29.302502,18.956272,3814600
2010-08-04,29.370735,29.946930,29.363153,29.863533,19.319214,4946500
2010-08-05,29.651251,30.098560,29.643669,30.098560,19.471254,4658700
2010-08-06,29.893860,29.969673,29.325247,29.583017,19.137741,5497500
2010-08-09,29.681578,29.802881,29.401062,29.711903,19.221119,3253500
2010-08-10,29.416224,29.636087,29.188780,29.507202,19.088696,3534900
2010-08-11,29.150871,29.150871,28.294163,28.468536,18.416765,5555200
2010-08-12,28.112206,28.392721,28.006065,28.210766,18.250013,3334000
2010-08-13,28.074299,28.278999,28.013647,28.066717,18.156818,2695300
2010-08-16,27.960577,28.210766,27.581501,28.203184,18.245108,3652300
2010-08-17,28.377560,28.726307,28.188021,28.506445,18.441298,4400100
2010-08-18,28.498863,28.529188,28.142532,28.316906,18.318672,3776500
2010-08-19,28.218348,28.218348,27.414707,27.566338,17.833117,4584900
2010-08-20,27.323730,27.657316,27.247915,27.543594,17.818405,5291300
2010-08-23,27.513268,27.816528,27.376801,27.558756,17.828211,5095500
2010-08-24,27.217588,27.414707,26.808187,27.096285,17.529034,5338600
2010-08-25,26.937073,27.437452,26.717211,27.316149,17.671263,5616800
2010-08-26,27.482941,27.808947,27.119030,27.202427,17.597700,3954700
2010-08-27,27.369219,27.907505,26.990145,27.854435,18.019493,4240900
2010-08-30,27.839272,27.998484,27.551176,27.551176,17.823309,4141600
2010-08-31,27.551176,27.740713,27.225170,27.543594,17.818405,6612600
2010-09-01,27.839272,28.908264,27.839272,28.809704,18.637470,7222800
2010-09-02,28.809704,29.211523,28.771797,29.158453,18.863083,4436900
2010-09-03,29.325247,29.946930,29.325247,29.742229,19.240732,4634400
2010-09-07,29.643669,29.802881,29.499620,29.673996,19.196598,5149200
2010-09-08,29.590599,30.242607,29.590599,29.886278,19.333927,6957700
2010-09-09,30.235027,30.318422,29.787718,29.939348,19.368258,3029700
2010-09-10,30.022745,30.098560,29.840788,30.015163,19.417301,2552700
2010-09-13,30.250189,30.629265,30.250189,30.477634,19.716486,3555300
2010-09-14,30.333586,30.705080,30.257771,30.470053,19.711582,3580400
2010-09-15,30.409401,30.538286,30.219864,30.363913,19.642920,3541100
2010-09-16,30.212282,30.523123,30.159212,30.454889,19.701765,3352800
2010-09-17,30.614101,31.000757,30.341167,30.917362,20.000952,6047400
2010-09-20,31.114481,31.281273,30.788477,31.182714,20.172611,3445800
2010-09-21,31.182714,31.417740,30.970432,31.114481,20.128471,3614700
2010-09-22,31.068991,31.152388,30.606520,30.811220,19.945105,3357300
2010-09-23,30.591356,30.856710,30.318422,30.409401,19.684999,3071100
2010-09-24,30.659590,31.326763,30.659590,31.258530,20.234661,4160300
2010-09-27,31.190296,31.205460,30.765732,30.932524,20.023632,2904300
2010-09-28,31.084154,31.508718,30.705080,31.425322,20.342636,5591600
2010-09-29,31.243366,31.372252,30.727823,30.758150,19.910753,6084500
2010-09-30,31.076572,31.372252,30.629265,30.788477,19.930387,6875100
2010-10-01,31.046247,31.114481,30.356331,30.629265,19.827320,6418700
2010-10-04,30.485216,30.629265,29.969673,30.113722,19.493593,5412200
2010-10-05,30.348749,31.000757,30.348749,30.917362,20.013819,4768400
2010-10-06,30.841547,31.182714,30.841547,30.993177,20.062895,3954700
2010-10-07,31.053829,31.106899,30.689917,30.871872,19.984367,3241300
2010-10-08,31.000757,31.470812,30.879454,31.379833,20.313183,4290700
2010-10-11,31.425322,31.432903,31.122063,31.311600,20.269011,2297100
2010-10-12,31.152388,31.523882,30.773314,31.357088,20.298466,4085800
2010-10-13,31.576952,31.986353,31.432903,31.865049,20.627285,4725400
2010-10-14,31.880213,32.001514,31.516300,31.721001,20.534040,5795500
2010-10-15,32.100075,32.137981,31.501137,31.781652,20.573298,4058100
2010-10-18,31.834723,32.107658,31.622440,31.819561,20.597837,3736900
2010-10-19,31.501137,31.630022,31.076572,31.243366,20.224844,4283100
2010-10-20,31.349506,31.630022,31.296436,31.531464,20.411343,5361300
2010-10-21,32.221378,32.956787,32.213799,32.880970,21.284922,8380900
2010-10-22,32.880970,32.880970,32.486732,32.736923,21.191679,3413300
2010-10-25,32.752087,32.896133,32.410919,32.494312,21.034628,6481100
2010-10-26,32.304775,32.668690,32.213799,32.577709,21.088614,3783500
