Date,Open,High,Low,Close,Adj Close,Volume
2010-07-29,67.010002,67.010002,64.570000,65.839996,54.669853,659100
2010-07-30,62.400002,64.720001,61.360001,63.470001,52.701942,1693500
2010-08-02,64.120003,65.040001,62.389999,62.580002,51.962933,971100
2010-08-03,62.250000,63.330002,62.250000,63.020000,52.328293,951200
2010-08-04,63.009998,63.869999,62.700001,63.540001,52.760078,625100
2010-08-05,63.540001,64.190002,62.689999,63.220001,52.494358,533500
2010-08-06,62.689999,63.080002,60.970001,62.860001,52.195435,843400
2010-08-09,63.209999,63.610001,62.770000,62.810001,52.153919,384500
2010-08-10,62.119999,62.189999,60.299999,60.750000,50.443405,1096400
2010-08-11,59.939999,59.939999,57.119999,58.680000,48.724586,1205500
2010-08-12,57.509998,59.330002,57.509998,59.299999,49.239407,1076500
2010-08-13,59.160000,59.259998,56.119999,56.160000,46.632122,1084300
2010-08-16,56.240002,56.840000,55.660000,56.099998,46.582310,1126600
2010-08-17,56.360001,58.650002,56.360001,58.349998,48.450584,846100
2010-08-18,58.630001,58.650002,57.910000,58.060001,48.209782,458600
2010-08-19,57.669998,58.500000,56.930000,57.139999,47.445866,585700
2010-08-20,56.840000,57.340000,56.700001,57.150002,47.454163,446300
2010-08-23,57.240002,57.570000,54.430000,54.590000,45.328487,942200
2010-08-24,53.790001,54.439999,52.189999,53.759998,44.639301,943500
2010-08-25,53.590000,54.080002,52.680000,53.790001,44.664219,870700
2010-08-26,54.080002,55.220001,53.709999,53.790001,44.664219,435400
2010-08-27,54.080002,56.279999,53.810001,55.900002,46.416241,939300
2010-08-30,55.660000,55.959999,55.220001,55.250000,45.876522,773400
2010-08-31,54.919998,55.860001,54.919998,55.419998,46.017666,751500
2010-09-01,56.169998,57.700001,56.169998,56.860001,47.213367,842400
2010-09-02,56.750000,57.689999,56.549999,57.459999,47.711578,655900
2010-09-03,58.060001,58.220001,57.029999,57.189999,47.487373,473700
2010-09-07,56.910000,57.349998,56.080002,56.150002,46.623825,472000
2010-09-08,56.500000,56.779999,55.700001,56.040001,46.532482,863600
2010-09-09,56.820000,56.820000,53.540001,54.480000,45.237137,897700
2010-09-10,54.689999,54.860001,53.860001,54.119999,44.938217,395300
2010-09-13,54.869999,55.430000,54.619999,55.160000,45.801781,457300
2010-09-14,55.160000,55.560001,54.500000,55.270000,45.893124,521900
2010-09-15,54.419998,54.990002,54.160000,54.680000,45.403221,419600
2010-09-16,54.430000,55.939999,54.430000,55.740002,46.283386,701300
2010-09-17,55.869999,56.180000,55.560001,55.950001,46.457752,521400
2010-09-20,56.180000,60.490002,55.959999,60.250000,50.028236,1253900
2010-09-21,60.060001,61.099998,58.349998,60.080002,49.887081,1368600
2010-09-22,61.380001,62.950001,59.549999,60.209999,49.995014,1294300
2010-09-23,59.930000,61.000000,59.520000,60.209999,49.995014,445000
2010-09-24,60.900002,62.549999,60.900002,61.740002,51.265446,620900
2010-09-27,62.150002,62.660000,61.299999,61.919998,51.414917,454400
2010-09-28,58.709999,60.689999,57.730000,60.320000,50.086365,1983500
2010-09-29,60.080002,60.299999,58.560001,58.860001,48.874065,1186600
2010-09-30,59.209999,59.490002,56.709999,56.810001,47.171852,1719200
2010-10-01,57.529999,57.810001,56.820000,57.480000,47.728184,702400
2010-10-04,57.480000,57.820000,56.689999,57.770000,47.968979,573400
2010-10-05,58.779999,60.189999,58.419998,59.919998,49.754230,806800
2010-10-06,60.000000,60.209999,57.450001,57.910000,48.085224,745800
2010-10-07,58.500000,58.720001,57.720001,57.799999,47.993896,554600
2010-10-08,57.799999,58.419998,56.889999,58.099998,48.243000,361000
2010-10-11,58.060001,58.060001,57.240002,57.520000,47.761395,581100
2010-10-12,57.660000,59.090000,57.259998,58.919998,48.923885,453000
2010-10-13,59.400002,60.520000,59.209999,60.250000,50.028236,617700
2010-10-14,62.669998,63.259998,60.610001,60.759998,50.451714,816100
2010-10-15,61.310001,61.759998,60.509998,61.290001,50.891800,488600
2010-10-18,61.290001,61.810001,61.169998,61.209999,50.825371,358600
2010-10-19,60.360001,60.919998,59.630001,60.150002,49.945198,383800
2010-10-20,60.380001,60.770000,60.130001,60.599998,50.318855,337400
2010-10-21,60.790001,61.799999,60.790001,61.360001,50.949928,365900
2010-10-22,61.430000,62.689999,61.220001,62.560001,51.946331,346600
2010-10-25,62.990002,63.169998,62.509998,62.580002,51.962933,582200
2010-10-26,62.500000,62.619999,61.560001,61.860001,51.365097,453600
2010-10-27,61.400002,62.430000,60.980000,61.849998,51.356781,463200
2010-10-28,62.330002,62.689999,60.150002,61.250000,50.858574,544700
2010-10-29,61.150002,63.169998,61.130001,61.680000,51.215630,1091100
2010-11-01,61.799999,63.099998,61.799999,62.930000,52.253559,512800
2010-11-02,63.220001,63.889999,62.860001,63.770000,52.951050,421900
2010-11-03,63.779999,65.290001,63.340000,65.190002,54.130135,687000
2010-11-04,65.849998,67.480003,65.279999,65.849998,54.678165,994500
2010-11-05,64.940002,69.540001,64.660004,69.510002,57.717220,1479600
2010-11-08,69.500000,69.690002,68.419998,69.230003,57.484718,716700
2010-11-09,67.940002,68.930000,66.730003,67.110001,55.724403,722900
2010-11-10,67.000000,67.349998,66.000000,67.220001,55.815731,812300
2010-11-11,66.129997,66.559998,65.389999,65.690002,54.545300,806000
2010-11-12,65.110001,66.160004,65.040001,65.529999,54.412453,496200
2010-11-15,65.529999,65.529999,64.419998,64.680000,53.706676,594700
2010-11-16,64.029999,64.500000,63.160000,63.849998,53.017471,563500
2010-11-17,63.830002,64.160004,63.490002,63.939999,53.092201,486300
2010-11-18,64.379997,64.959999,64.279999,64.330002,53.416035,356500
2010-11-19,64.309998,65.209999,63.820000,64.949997,53.930851,399900
2010-11-22,64.580002,65.669998,64.440002,65.470001,54.362633,429100
2010-11-23,64.790001,64.980003,63.790001,64.269997,53.366222,443100
2010-11-24,64.660004,65.940002,64.629997,65.690002,54.545300,287000
2010-11-26,65.169998,65.589996,64.949997,65.250000,54.179955,82100
2010-11-29,64.849998,64.849998,63.029999,64.070000,53.200150,361700
2010-11-30,63.230000,63.790001,62.410000,63.290001,52.552483,737900
2010-12-01,63.930000,65.870003,63.930000,65.790001,54.628353,611500
2010-12-02,65.629997,65.779999,64.940002,65.300003,54.221466,424200
2010-12-03,65.120003,66.120003,64.919998,65.930000,54.744591,347500
2010-12-06,65.820000,66.809998,65.519997,66.440002,55.168060,395400
2010-12-07,67.110001,67.510002,66.059998,66.440002,55.168060,465400
2010-12-08,66.519997,66.860001,65.510002,66.010002,54.811028,302200
2010-12-09,66.260002,67.919998,66.169998,67.879997,56.363758,430900
2010-12-10,67.610001,67.699997,67.120003,67.339996,55.915375,373400
2010-12-13,67.930000,68.440002,67.510002,67.650002,56.172779,350800
2010-12-14,67.489998,67.730003,66.860001,67.239998,55.832329,381300
2010-12-15,67.089996,67.320000,66.480003,66.629997,55.325829,314500
2010-12-16,66.449997,66.570000,65.470001,66.570000,55.276005,336000
2010-12-17,66.559998,67.769997,66.559998,67.750000,56.255821,343200
2010-12-20,67.639999,67.650002,66.239998,66.849998,55.508507,237500
2010-12-21,67.300003,67.440002,66.470001,66.790001,55.458683,210200
2010-12-22,66.790001,66.900002,66.239998,66.389999,55.126541,225500
2010-12-23,66.139999,66.779999,66.139999,66.489998,55.209572,416600
2010-12-27,66.529999,66.970001,66.080002,66.779999,55.450378,176500
2010-12-28,66.779999,67.470001,66.459999,67.400002,55.965210,184300
2010-12-29,67.300003,67.500000,66.790001,66.940002,55.583241,110600
2010-12-30,66.699997,66.970001,66.419998,66.660004,55.350742,120900
2010-12-31,66.660004,67.000000,65.809998,66.699997,55.383949,178400
