Date,Open,High,Low,Close,Adj Close,Volume
2010-07-27,48.509998,49.000000,48.270000,48.970001,33.208515,2743800
2010-07-28,48.799999,48.970001,48.450001,48.669998,33.005074,1145000
2010-07-29,48.950001,49.060001,47.840000,48.160000,32.659222,1064200
2010-07-30,45.599998,47.240002,45.599998,46.160000,31.302937,3387800
2010-08-02,46.590000,46.939999,46.000000,46.520000,31.547062,2019300
2010-08-03,46.299999,46.509998,46.130001,46.279999,31.384317,1485100
2010-08-04,46.369999,46.570000,45.990002,46.450001,31.499599,1550100
2010-08-05,46.290001,46.840000,46.169998,46.790001,31.730164,1100600
2010-08-06,46.590000,46.959999,46.209999,46.830002,31.757292,1552100
2010-08-09,46.950001,47.860001,46.900002,47.330002,32.096359,1197800
2010-08-10,47.020000,47.509998,46.630001,47.270000,32.055664,1651400
2010-08-11,46.799999,46.799999,46.169998,46.230000,31.350412,1201800
2010-08-12,45.169998,46.580002,45.169998,46.180000,31.316496,1280700
2010-08-13,45.939999,46.660000,45.889999,46.209999,31.336840,798800
2010-08-16,45.980000,46.480000,45.599998,46.410000,31.472469,1192400
2010-08-17,46.740002,46.849998,46.459999,46.610001,31.608093,2066800
2010-08-18,46.669998,46.680000,46.080002,46.439999,31.492819,2150200
2010-08-19,46.330002,46.369999,45.500000,45.860001,31.099503,1219800
2010-08-20,45.439999,46.000000,45.290001,45.910000,31.133406,956100
2010-08-23,46.009998,46.580002,45.939999,46.160000,31.302937,729900
2010-08-24,45.740002,46.500000,45.639999,46.150002,31.296156,1061300
2010-08-25,45.869999,46.320000,45.509998,46.160000,31.302937,2229800
2010-08-26,46.240002,46.639999,46.009998,46.139999,31.289375,1058600
2010-08-27,46.369999,47.250000,45.959999,47.130001,31.960735,1143100
2010-08-30,46.959999,47.279999,46.570000,46.619999,31.614876,745800
2010-08-31,46.529999,47.049999,46.150002,46.849998,31.770844,1462100
2010-09-01,47.189999,47.959999,47.090000,47.830002,32.435432,1746300
2010-09-02,48.000000,48.000000,47.169998,47.430000,32.164181,1031500
2010-09-03,47.720001,47.790001,47.200001,47.540001,32.238766,962100
2010-09-07,47.200001,47.400002,46.900002,47.180000,31.994637,3323500
2010-09-08,47.230000,47.349998,46.779999,46.950001,31.838665,3158900
2010-09-09,47.299999,47.349998,46.980000,47.099998,31.940384,892500
2010-09-10,47.020000,47.560001,46.669998,47.470001,32.191307,1607800
2010-09-13,47.750000,47.959999,47.380001,47.840000,32.442223,1265600
2010-09-14,47.740002,48.389999,47.610001,48.250000,32.720234,1509900
2010-09-15,47.889999,48.419998,47.889999,48.189999,32.679558,1781500
2010-09-16,47.549999,47.549999,46.509998,46.689999,32.034615,1608400
2010-09-17,46.930000,47.060001,46.230000,46.310001,31.773897,2211100
2010-09-20,46.310001,46.709999,46.270000,46.549999,31.938553,1474300
2010-09-21,46.610001,46.689999,45.759998,45.990002,31.554342,2638900
2010-09-22,45.810001,46.459999,45.799999,46.119999,31.643530,1409000
2010-09-23,45.919998,46.040001,45.410000,45.470001,31.197565,1165200
2010-09-24,45.759998,46.200001,45.680000,45.840000,31.451422,1095500
2010-09-27,45.930000,46.139999,45.580002,46.009998,31.568058,1164800
2010-09-28,46.049999,46.090000,45.500000,45.980000,31.547480,1364200
2010-09-29,45.830002,46.240002,45.740002,46.160000,31.670973,1232100
2010-09-30,46.400002,46.580002,45.770000,45.930000,31.513165,1312000
2010-10-01,46.220001,46.680000,45.919998,46.480000,31.890537,1810700
2010-10-04,46.419998,46.720001,46.160000,46.340000,31.794479,1104600
2010-10-05,46.709999,47.040001,46.470001,47.009998,32.254166,1426500
2010-10-06,47.020000,47.259998,46.689999,46.860001,32.151245,965200
2010-10-07,47.029999,47.169998,46.720001,46.830002,32.130672,914300
2010-10-08,46.930000,47.310001,46.840000,47.220001,32.398239,1057900
2010-10-11,47.189999,47.660000,47.189999,47.439999,32.549206,722800
2010-10-12,47.380001,47.380001,46.840000,46.980000,32.233589,860900
2010-10-13,47.270000,47.340000,47.020000,47.090000,32.309055,1290500
2010-10-14,47.090000,47.349998,46.720001,46.880001,32.164974,592200
2010-10-15,47.259998,47.290001,46.790001,47.110001,32.322773,2084300
2010-10-18,47.029999,47.470001,47.029999,47.270000,32.432552,609700
2010-10-19,46.849998,47.439999,46.700001,46.900002,32.178692,978400
2010-10-20,46.919998,47.599998,46.799999,47.279999,32.439411,717400
2010-10-21,47.439999,47.590000,46.709999,46.990002,32.240448,558800
2010-10-22,47.150002,47.240002,46.599998,46.930000,32.199284,881400
2010-10-25,47.169998,47.320000,46.779999,46.820000,32.123802,841300
2010-10-26,46.650002,47.099998,46.580002,47.049999,32.281612,843700
2010-10-27,46.900002,47.080002,46.480000,47.060001,32.288479,662700
2010-10-28,47.220001,47.419998,46.830002,47.250000,32.418839,818200
2010-10-29,46.900002,46.970001,46.509998,46.759998,32.082638,1057400
2010-11-01,46.860001,47.240002,45.380001,45.669998,31.334766,1343100
2010-11-02,46.009998,46.369999,45.889999,46.310001,31.773897,1039100
2010-11-03,46.259998,46.509998,45.970001,46.340000,31.794479,782400
2010-11-04,46.669998,47.139999,46.590000,47.099998,32.315926,824600
2010-11-05,47.110001,47.220001,46.759998,46.830002,32.130672,543700
2010-11-08,46.630001,46.810001,46.009998,46.480000,31.890537,644000
2010-11-09,46.509998,46.880001,46.119999,46.290001,31.760162,1007600
2010-11-10,46.259998,46.279999,45.840000,45.970001,31.540607,883300
2010-11-11,45.759998,46.119999,45.759998,46.070000,31.609226,757200
2010-11-12,45.849998,45.919998,45.509998,45.709999,31.362230,668700
2010-11-15,45.770000,46.099998,45.720001,45.720001,31.369085,713500
2010-11-16,45.599998,45.709999,44.790001,45.110001,30.950556,905400
2010-11-17,45.160000,45.369999,44.900002,44.970001,30.854490,631700
2010-11-18,45.340000,45.380001,45.000000,45.310001,31.087782,600900
2010-11-19,45.369999,46.000000,45.259998,45.709999,31.362230,1707700
2010-11-22,45.509998,45.910000,45.389999,45.880001,31.478868,902400
2010-11-23,45.590000,45.619999,45.040001,45.139999,30.971149,1194300
2010-11-24,45.439999,45.480000,45.139999,45.380001,31.135818,657100
2010-11-26,45.160000,45.419998,44.820000,45.099998,30.943697,705800
2010-11-29,44.779999,44.810001,44.270000,44.810001,30.744728,1143000
2010-11-30,44.459999,44.889999,44.349998,44.549999,30.566322,3475100
2010-12-01,44.970001,45.480000,44.939999,45.400002,31.149534,3109800
2010-12-02,45.270000,45.619999,45.009998,45.529999,31.238728,3036900
2010-12-03,45.369999,45.590000,45.090000,45.580002,31.273045,637800
2010-12-06,45.500000,45.650002,45.299999,45.299999,31.080917,1728300
2010-12-07,45.599998,46.130001,45.360001,45.459999,31.190699,1137700
2010-12-08,45.430000,45.660000,45.209999,45.270000,31.060337,966600
2010-12-09,45.419998,45.799999,45.279999,45.669998,31.334766,785500
2010-12-10,45.799999,46.180000,45.750000,46.110001,31.636675,794300
2010-12-13,46.320000,46.369999,45.759998,46.209999,31.705278,1025500
2010-12-14,46.360001,46.590000,46.110001,46.169998,31.677834,745300
2010-12-15,46.160000,46.259998,45.360001,45.410000,31.156395,1356700
2010-12-16,45.410000,45.709999,45.240002,45.610001,31.293612,947000
2010-12-17,45.450001,45.500000,44.939999,45.369999,31.128939,1776800
2010-12-20,45.570000,45.750000,45.290001,45.610001,31.293612,851500
2010-12-21,45.750000,45.869999,45.439999,45.529999,31.238728,796700
2010-12-22,45.130001,45.400002,44.939999,45.389999,31.530479,555800
2010-12-23,45.400002,45.610001,45.320000,45.480000,31.592999,510200
2010-12-27,45.439999,45.450001,45.060001,45.090000,31.322081,700000
2010-12-28,45.230000,45.230000,44.950001,45.169998,31.377649,532700
2010-12-29,45.099998,45.320000,45.040001,45.220001,31.412394,496000
2010-12-30,45.139999,45.540001,45.139999,45.380001,31.523546,760400
2010-12-31,45.380001,45.520000,45.180000,45.320000,31.481853,827200
2011-01-03,45.560001,45.720001,45.320000,45.570000,31.655510,780900
2011-01-04,45.700001,45.919998,45.340000,45.830002,31.836124,876900
2011-01-05,45.689999,45.990002,45.590000,45.840000,31.843079,1086600
2011-01-06,45.740002,45.740002,45.169998,45.669998,31.724974,1246700
2011-01-07,45.750000,46.349998,45.610001,46.340000,32.190403,1485000
2011-01-10,46.130001,46.259998,45.820000,46.139999,32.051476,1470500
2011-01-11,46.220001,46.689999,46.160000,46.439999,32.259876,1441900
2011-01-12,46.740002,46.830002,46.490002,46.660000,32.412697,636100
2011-01-13,46.599998,46.880001,46.520000,46.720001,32.454365,1069300
2011-01-14,46.700001,46.950001,46.580002,46.849998,32.544670,958100
2011-01-18,47.040001,47.040001,46.610001,46.910000,32.586353,1019500
2011-01-19,46.930000,46.939999,46.459999,46.560001,32.343227,683000
2011-01-20,46.570000,47.000000,46.529999,46.750000,32.475220,820400
2011-01-21,46.970001,47.000000,46.509998,46.520000,32.315445,2000900
2011-01-24,46.599998,46.910000,46.509998,46.900002,32.579403,687800
2011-01-25,46.849998,46.970001,46.580002,46.889999,32.572456,693200
2011-01-26,46.930000,47.160000,46.490002,46.529999,32.322384,719700
2011-01-27,46.590000,47.139999,46.490002,47.009998,32.655819,739600
2011-01-28,47.009998,47.119999,46.150002,46.220001,32.107059,753800
2011-01-31,46.250000,46.570000,46.230000,46.259998,32.134834,864600
2011-02-01,46.570000,46.650002,46.340000,46.630001,32.391853,600000
2011-02-02,46.419998,46.470001,46.139999,46.230000,32.114002,847600
2011-02-03,46.119999,46.450001,46.020000,46.360001,32.204300,568200
2011-02-04,46.320000,46.450001,46.060001,46.299999,32.162609,720200
2011-02-07,46.349998,46.610001,46.209999,46.330002,32.183460,723100
2011-02-08,46.400002,46.669998,46.320000,46.450001,32.266819,1187700
2011-02-09,46.380001,47.349998,46.290001,46.980000,32.634983,1291800
2011-02-10,46.810001,47.220001,46.680000,46.889999,32.572456,769300
2011-02-11,46.770000,47.020000,46.580002,46.939999,32.607208,801500
2011-02-14,46.849998,46.930000,46.400002,46.639999,32.398800,614200
2011-02-15,46.450001,46.910000,46.439999,46.740002,32.468262,553200
2011-02-16,46.790001,46.990002,46.549999,46.700001,32.440475,659500
2011-02-17,46.599998,47.000000,46.599998,46.849998,32.544670,610500
2011-02-18,46.900002,47.340000,46.849998,47.130001,32.739189,906300
2011-02-22,46.680000,47.110001,46.400002,46.450001,32.266819,1291800
2011-02-23,46.470001,46.799999,46.459999,46.560001,32.343227,1035300
2011-02-24,46.639999,46.860001,46.490002,46.619999,32.384903,1157800
2011-02-25,46.730000,47.009998,46.520000,46.980000,32.634983,787300
2011-02-28,47.040001,47.549999,46.860001,47.080002,32.704445,953700
2011-03-01,47.240002,47.509998,46.570000,46.650002,32.405754,951900
2011-03-02,46.680000,46.980000,46.430000,46.950001,32.614136,963200
2011-03-03,47.189999,47.720001,46.970001,47.580002,33.051781,2959200
2011-03-04,47.500000,47.720001,47.160000,47.720001,33.149033,3456100
2011-03-07,47.779999,48.299999,47.779999,48.090000,33.406048,3632200
2011-03-08,48.250000,48.779999,48.139999,48.700001,33.829792,2058200
2011-03-09,48.529999,49.250000,48.500000,49.169998,34.156281,1795600
2011-03-10,48.880001,49.360001,48.509998,48.520000,33.704758,1726600
2011-03-11,48.720001,49.060001,48.490002,48.990002,34.031242,1150500
2011-03-14,48.599998,48.700001,48.020000,48.470001,33.670017,1595900
2011-03-15,47.650002,48.299999,47.610001,48.180000,33.468578,3502700
2011-03-16,48.189999,48.279999,47.540001,47.669998,33.114300,2833300
2011-03-17,47.570000,47.750000,47.009998,47.250000,33.212711,1537800
2011-03-18,47.639999,47.709999,46.849998,47.029999,33.058056,1651200
2011-03-21,47.439999,47.720001,47.259998,47.700001,33.529015,1062400
2011-03-22,47.689999,47.830002,47.400002,47.520000,33.402493,973800
2011-03-23,47.490002,47.700001,47.180000,47.470001,33.367340,963900
2011-03-24,47.750000,47.889999,47.310001,47.689999,33.521976,716300
2011-03-25,47.700001,48.029999,47.520000,47.779999,33.585251,629500
2011-03-28,47.900002,48.290001,47.509998,47.509998,33.395462,809000
2011-03-29,47.570000,48.150002,47.490002,48.099998,33.810184,1031100
2011-03-30,48.240002,49.110001,48.240002,48.990002,34.435772,1482200
2011-03-31,48.990002,49.279999,48.619999,48.959999,34.414696,1227000
2011-04-01,49.110001,49.419998,49.110001,49.360001,34.695854,903000
2011-04-04,49.419998,49.470001,49.220001,49.369999,34.702888,662500
2011-04-05,49.240002,49.680000,49.240002,49.490002,34.787228,1078100
2011-04-06,49.590000,49.950001,49.549999,49.639999,34.892673,841200
2011-04-07,49.619999,49.740002,49.360001,49.500000,34.794266,906300
2011-04-08,49.639999,49.720001,48.799999,49.209999,34.590416,753700
2011-04-11,49.299999,49.419998,48.549999,48.730000,34.253021,857300
2011-04-12,48.619999,48.790001,48.169998,48.349998,33.985905,736700
2011-04-13,48.459999,48.790001,48.389999,48.480000,34.077297,1015900
2011-04-14,48.230000,48.480000,48.060001,48.369999,33.999966,924200
2011-04-15,48.580002,49.480000,48.529999,49.340000,34.681801,1095600
2011-04-18,48.939999,49.330002,48.630001,48.799999,34.302216,843800
2011-04-19,48.889999,49.000000,48.669998,48.700001,34.231926,585100
2011-04-20,49.139999,49.560001,49.070000,49.400002,34.723969,702900
2011-04-21,49.459999,49.549999,49.189999,49.470001,34.773170,525600
2011-04-25,49.529999,49.529999,49.049999,49.410000,34.730991,807300
2011-04-26,49.450001,49.610001,48.230000,48.869999,34.351410,2392100
2011-04-27,49.000000,49.750000,48.860001,49.619999,34.878605,1083900
2011-04-28,49.509998,50.000000,49.490002,49.959999,35.117607,1156600
2011-04-29,49.910000,50.580002,49.799999,50.529999,35.518257,1235800
2011-05-02,50.619999,51.169998,50.619999,51.090000,35.911896,1431000
2011-05-03,51.000000,51.660000,50.810001,51.459999,36.171974,2431600
2011-05-04,51.169998,51.520000,50.959999,51.470001,36.178997,1389800
2011-05-05,51.290001,51.299999,50.619999,50.840000,35.736160,969000
2011-05-06,51.669998,51.680000,50.910000,51.160000,35.961094,753600
2011-05-09,51.060001,51.290001,50.720001,51.189999,35.982185,1038200
2011-05-10,51.360001,52.160000,51.290001,51.990002,36.544518,1121400
2011-05-11,51.900002,52.200001,51.669998,51.939999,36.509365,1685000
2011-05-12,51.849998,52.529999,51.799999,52.450001,36.867851,729000
2011-05-13,52.450001,52.720001,52.130001,52.540001,36.931129,950300
2011-05-16,52.290001,52.779999,51.970001,52.049999,36.586693,846500
2011-05-17,52.029999,52.430000,51.700001,52.119999,36.635902,955100
2011-05-18,52.139999,52.139999,51.439999,51.680000,36.326614,1081400
2011-05-19,51.790001,51.959999,51.619999,51.910000,36.488289,791100
2011-05-20,51.799999,52.160000,51.560001,51.900002,36.481251,883400
2011-05-23,51.470001,51.889999,51.410000,51.470001,36.178997,955800
2011-05-24,51.459999,51.820000,51.360001,51.509998,36.207123,837200
2011-05-25,51.290001,51.349998,50.799999,51.119999,35.932987,1036400
2011-05-26,50.980000,51.110001,50.610001,51.040001,35.876751,840600
2011-05-27,51.259998,51.389999,50.919998,51.119999,35.932987,527700
2011-05-31,51.580002,51.680000,51.160000,51.619999,36.284439,1371700
2011-06-01,51.419998,51.580002,50.849998,50.849998,35.743183,756300
2011-06-02,50.869999,50.880001,50.200001,50.709999,35.644794,854200
2011-06-03,50.000000,50.540001,49.900002,50.259998,35.328472,536600
2011-06-06,50.240002,50.240002,49.790001,50.000000,35.145718,509900
2011-06-07,50.080002,50.410000,49.950001,49.959999,35.117607,683700
2011-06-08,49.830002,50.090000,49.410000,49.779999,34.991077,1088600
2011-06-09,49.720001,49.840000,49.340000,49.570000,34.843468,982900
2011-06-10,49.459999,49.639999,49.310001,49.340000,34.681801,904600
2011-06-13,49.380001,49.900002,49.200001,49.669998,34.913761,742000
2011-06-14,49.950001,50.150002,49.680000,49.799999,35.005131,1075800
2011-06-15,49.560001,49.950001,49.250000,49.419998,34.738026,1093100
2011-06-16,48.939999,49.080002,48.650002,49.020000,34.871414,1276800
2011-06-17,49.279999,49.480000,49.080002,49.240002,35.027908,1228100
2011-06-20,49.060001,49.330002,48.680000,49.250000,35.035038,851000
2011-06-21,49.410000,49.980000,49.200001,49.689999,35.348034,1077700
2011-06-22,49.439999,49.560001,49.150002,49.220001,35.013683,781900
2011-06-23,48.790001,48.869999,48.330002,48.689999,34.636658,965900
2011-06-24,48.830002,49.349998,48.770000,49.040001,34.885647,1183700
2011-06-27,49.029999,49.560001,49.029999,49.480000,35.198647,687900
2011-06-28,49.520000,50.040001,49.450001,49.730000,35.376476,748400
2011-06-29,49.910000,50.060001,49.720001,49.990002,35.561443,740000
2011-06-30,50.029999,50.110001,49.730000,50.020000,35.582787,554400
2011-07-01,50.130001,50.849998,50.070000,50.799999,36.137669,735300
2011-07-05,50.799999,50.980000,50.509998,50.610001,36.002495,752200
2011-07-06,50.360001,50.700001,50.230000,50.500000,35.924244,630900
2011-07-07,50.880001,50.880001,50.480000,50.639999,36.023834,559700
2011-07-08,50.200001,50.470001,50.090000,50.369999,35.831760,564400
2011-07-11,49.880001,49.970001,49.599998,49.709999,35.362251,600700
2011-07-12,49.689999,50.360001,49.639999,50.009998,35.575672,750900
2011-07-13,50.259998,50.349998,49.700001,49.779999,35.412048,749400
2011-07-14,49.889999,50.169998,49.730000,49.860001,35.468964,1172400
2011-07-15,50.169998,50.369999,49.730000,50.330002,35.803307,1304900
2011-07-18,50.310001,50.310001,49.470001,49.790001,35.419163,908100
2011-07-19,49.860001,50.099998,49.439999,50.049999,35.604134,803700
2011-07-20,50.080002,50.599998,49.939999,50.520000,35.938465,746800
2011-07-21,50.759998,51.830002,50.580002,51.680000,36.763657,1170400
2011-07-22,51.380001,51.630001,51.139999,51.230000,36.443546,642700
2011-07-25,50.820000,51.439999,50.750000,51.279999,36.479111,581100
2011-07-26,51.349998,51.349998,50.919998,51.080002,36.336830,544600
2011-07-27,51.009998,51.080002,50.580002,50.709999,36.073624,751300
2011-07-28,51.259998,51.639999,50.410000,50.880001,36.194561,1125300
2011-07-29,50.520000,50.660000,49.730000,49.840000,35.454739,1176300
2011-08-01,50.299999,50.389999,49.080002,49.330002,35.091938,1250000
2011-08-02,49.119999,49.200001,48.400002,48.400002,34.430351,1128200
2011-08-03,48.389999,48.529999,47.770000,48.480000,34.487267,1278500
2011-08-04,48.029999,48.380001,47.090000,47.090000,33.498459,1753400
2011-08-05,47.520000,47.740002,46.200001,47.130001,33.526920,2443200
2011-08-08,46.209999,46.799999,43.849998,44.029999,31.321667,2256100
2011-08-09,44.320000,45.880001,43.220001,45.840000,32.609257,4094800
2011-08-10,45.070000,46.320000,44.860001,45.169998,32.132637,2504500
2011-08-11,45.310001,47.900002,45.150002,47.389999,33.711876,2007000
2011-08-12,47.590000,47.849998,46.700001,46.950001,33.398880,1544500
2011-08-15,47.230000,48.430000,47.189999,48.360001,34.401897,1381600
2011-08-16,47.959999,48.360001,47.639999,48.230000,34.309429,1285900
2011-08-17,48.430000,49.070000,48.299999,48.439999,34.458813,1083800
2011-08-18,47.660000,48.040001,47.240002,47.759998,33.975086,1908300
2011-08-19,47.380001,47.959999,47.180000,47.509998,33.797230,1547800
2011-08-22,48.099998,48.230000,47.139999,47.259998,33.619400,1512200
2011-08-23,47.430000,48.939999,47.169998,48.939999,34.814495,2221000
2011-08-24,49.000000,50.000000,48.790001,49.930000,35.518757,1474500
2011-08-25,50.040001,50.049999,48.900002,49.360001,35.113270,1581300
2011-08-26,49.060001,49.650002,48.080002,49.369999,35.120384,1185200
2011-08-29,49.910000,50.279999,49.680000,50.259998,35.753513,697500
2011-08-30,50.130001,50.430000,49.889999,50.160000,35.682381,1556000
2011-08-31,50.290001,50.790001,50.169998,50.560001,35.966927,1018600
2011-09-01,50.720001,50.810001,49.919998,49.980000,35.554325,1078600
2011-09-02,49.619999,49.980000,49.290001,49.639999,35.312458,1005000
2011-09-06,48.580002,48.939999,48.049999,48.869999,34.764706,1183900
2011-09-07,49.290001,49.560001,49.029999,49.509998,35.219978,971600
2011-09-08,49.400002,50.040001,49.279999,49.400002,35.141739,1784800
2011-09-09,49.029999,49.110001,48.160000,48.470001,34.480156,1867300
2011-09-12,48.169998,49.200001,48.060001,49.189999,34.992340,4217200
2011-09-13,49.349998,49.590000,48.840000,49.540001,35.241322,1370900
2011-09-14,49.689999,50.119999,49.150002,49.619999,35.298225,1423500
2011-09-15,49.360001,50.090000,48.939999,50.090000,36.059536,2211700
2011-09-16,50.169998,50.880001,50.169998,50.560001,36.397877,1455400
2011-09-19,49.810001,50.520000,49.810001,50.340000,36.239498,1103800
2011-09-20,50.599998,52.000000,50.520000,50.990002,36.707432,1437100
2011-09-21,50.910000,50.910000,49.500000,49.500000,35.634781,1390500
2011-09-22,48.240002,48.860001,47.820000,48.130001,34.648529,1753300
2011-09-23,48.060001,48.720001,48.060001,48.470001,34.893291,1476800
2011-09-26,48.959999,49.180000,48.389999,49.119999,35.361221,1992100
2011-09-27,49.430000,49.959999,49.160000,49.369999,35.541199,1221600
2011-09-28,49.340000,49.700001,48.470001,48.560001,34.958076,1199000
2011-09-29,49.209999,49.639999,48.810001,49.450001,35.598793,989700
2011-09-30,49.090000,49.770000,49.009998,49.020000,35.289227,1190100
2011-10-03,49.020000,49.610001,48.060001,48.060001,34.598133,1377400
2011-10-04,47.700001,48.759998,47.029999,48.709999,35.066063,3000000
2011-10-05,48.709999,48.950001,47.990002,48.900002,35.202839,1369400
2011-10-06,48.799999,49.880001,48.630001,49.840000,35.879555,1040500
2011-10-07,50.099998,50.340000,49.630001,49.910000,35.929939,1408400
2011-10-10,50.560001,51.020000,50.320000,51.020000,36.729015,794900
2011-10-11,50.650002,50.820000,50.180000,50.540001,36.383469,944500
2011-10-12,50.750000,50.759998,50.020000,50.070000,36.045120,1026900
2011-10-13,49.939999,50.369999,49.549999,50.320000,36.225101,1146000
2011-10-14,50.820000,50.849998,50.349998,50.580002,36.412273,930500
2011-10-17,50.529999,50.880001,50.439999,50.490002,36.347485,1203100
2011-10-18,50.610001,51.150002,49.980000,50.830002,36.592247,1097200
2011-10-19,50.889999,51.610001,50.740002,50.919998,36.657043,848200
2011-10-20,51.049999,51.529999,50.959999,51.320000,36.944996,1463400
2011-10-21,51.840000,52.000000,51.419998,51.889999,37.355335,1079800
