Date,Open,High,Low,Close,Adj Close,Volume
2010-07-28,4.670000,4.950000,4.630000,4.850000,4.655328,7933900
2010-07-29,4.900000,4.970000,4.830000,4.850000,4.655328,5295000
2010-07-30,4.850000,4.960000,4.810000,4.940000,4.741716,4282800
2010-08-02,5.020000,5.100000,4.910000,4.990000,4.789711,5439700
2010-08-03,4.970000,5.120000,4.970000,5.030000,4.828105,5448100
2010-08-04,5.120000,5.180000,5.070000,5.180000,4.972084,9679600
2010-08-05,5.150000,5.180000,5.070000,5.100000,4.895294,3810800
2010-08-06,5.110000,5.230000,5.060000,5.120000,4.914494,5750200
2010-08-09,5.080000,5.120000,5.000000,5.120000,4.914494,4450700
2010-08-10,5.010000,5.120000,4.900000,5.060000,4.856900,5183900
2010-08-11,5.000000,5.000000,4.830000,4.860000,4.664928,5484000
2010-08-12,4.890000,5.020000,4.890000,4.970000,4.770514,5486600
2010-08-13,4.940000,4.960000,4.840000,4.840000,4.645732,3685800
2010-08-16,4.940000,4.970000,4.890000,4.910000,4.712921,3051000
2010-08-17,4.970000,4.990000,4.910000,4.960000,4.760916,3370400
2010-08-18,4.920000,5.060000,4.890000,5.060000,4.856900,5000000
2010-08-19,5.110000,5.210000,5.010000,5.050000,4.847303,7479200
2010-08-20,4.990000,4.990000,4.880000,4.950000,4.751316,4132100
2010-08-23,4.970000,5.020000,4.860000,4.860000,4.664928,3613100
2010-08-24,4.770000,4.960000,4.750000,4.800000,4.607337,4597100
2010-08-25,4.900000,5.100000,4.850000,5.080000,4.876098,6433600
2010-08-26,5.100000,5.250000,5.090000,5.140000,4.933689,6898600
2010-08-27,5.210000,5.490000,5.130000,5.490000,5.269642,12795300
2010-08-30,5.530000,5.560000,5.370000,5.450000,5.231246,6300200
2010-08-31,5.540000,5.940000,5.540000,5.720000,5.490409,17571200
2010-09-01,5.810000,5.870000,5.620000,5.700000,5.471213,8557400
2010-09-02,5.810000,5.860000,5.680000,5.790000,5.557600,6364900
2010-09-03,5.720000,5.850000,5.650000,5.850000,5.615193,7168700
2010-09-07,5.900000,6.000000,5.850000,5.940000,5.701580,8235000
