Date,Open,High,Low,Close,Adj Close,Volume
2010-07-28,5.080000,5.080000,4.880000,5.030000,3.997061,113500
2010-07-29,5.030000,5.180000,5.020000,5.050000,4.012953,197400
2010-07-30,5.050000,5.400000,4.940000,5.370000,4.267240,245400
2010-08-02,5.410000,5.560000,5.340000,5.500000,4.370543,231500
2010-08-03,5.440000,5.540000,5.300000,5.520000,4.386436,274400
2010-08-04,5.110000,5.200000,4.790000,4.980000,3.957329,876000
2010-08-05,5.100000,5.100000,4.950000,5.050000,4.012953,338300
2010-08-06,4.960000,5.050000,4.950000,5.030000,3.997061,257600
2010-08-09,4.990000,5.190000,4.960000,5.170000,4.108311,633800
2010-08-10,5.170000,5.550000,5.060000,5.380000,4.275187,613000
2010-08-11,5.230000,5.250000,4.990000,4.990000,3.965275,286100
2010-08-12,4.940000,5.050000,4.790000,5.030000,3.997061,327400
2010-08-13,5.050000,5.240000,4.950000,5.140000,4.084472,221500
2010-08-16,5.140000,5.140000,4.860000,4.910000,3.901703,343200
2010-08-17,4.930000,5.000000,4.870000,5.000000,3.973221,137500
2010-08-18,4.960000,5.190000,4.900000,5.130000,4.076525,349300
2010-08-19,5.070000,5.270000,4.950000,4.970000,3.949382,294100
2010-08-20,4.970000,5.170000,4.820000,5.160000,4.100364,373600
2010-08-23,5.200000,5.240000,4.950000,5.060000,4.020901,166700
2010-08-24,4.980000,5.100000,4.890000,5.060000,4.020901,310000
2010-08-25,5.030000,5.150000,4.990000,5.110000,4.060633,112700
2010-08-26,5.100000,5.150000,5.000000,5.050000,4.012953,118000
2010-08-27,5.050000,5.220000,5.020000,5.170000,4.108311,70300
2010-08-30,5.190000,5.200000,5.120000,5.170000,4.108311,118100
2010-08-31,5.120000,5.160000,4.910000,4.980000,3.957329,126300
2010-09-01,5.030000,5.130000,4.960000,5.120000,4.068578,100200
2010-09-02,5.100000,5.140000,5.040000,5.080000,4.036793,83800
2010-09-03,5.100000,5.430000,5.080000,5.370000,4.267240,282300
2010-09-07,5.340000,5.420000,5.300000,5.380000,4.275187,62200
2010-09-08,5.360000,5.430000,5.270000,5.430000,4.314919,118300
2010-09-09,5.450000,5.530000,5.340000,5.350000,4.251347,160500
2010-09-10,5.410000,5.500000,5.260000,5.480000,4.354652,87400
2010-09-13,5.490000,5.560000,5.450000,5.490000,4.362597,125900
2010-09-14,5.480000,5.500000,5.350000,5.450000,4.330812,72000
2010-09-15,5.400000,5.720000,5.260000,5.580000,4.434114,302100
2010-09-16,5.600000,5.660000,5.370000,5.490000,4.362597,113600
2010-09-17,5.510000,5.640000,5.500000,5.570000,4.426169,131700
2010-09-20,5.600000,5.600000,5.380000,5.390000,4.283133,93600
