Date,Open,High,Low,Close,Adj Close,Volume
2010-07-29,22.000000,22.660000,22.000000,22.660000,20.956720,800
2010-07-30,22.030001,23.950001,22.000000,23.950001,22.149754,2000
2010-08-02,23.950001,23.950001,23.950001,23.950001,22.149754,0
2010-08-03,21.510000,23.900000,21.510000,22.730000,21.021452,5700
2010-08-04,23.230000,23.889999,22.610001,22.940001,21.215675,500
2010-08-05,23.750000,23.750000,23.049999,23.129999,21.391386,2400
2010-08-06,23.080000,23.080000,23.049999,23.049999,21.317404,600
2010-08-09,22.840000,22.840000,21.990000,21.990000,20.337086,600
2010-08-10,22.820000,22.820000,21.350000,22.190001,20.522051,700
2010-08-11,21.580000,21.580000,21.500000,21.500000,19.883911,1000
2010-08-12,22.000000,22.400000,21.660000,22.400000,20.716261,1900
2010-08-13,22.110001,22.110001,21.549999,21.549999,19.930155,700
2010-08-16,22.450001,23.000000,21.430000,22.049999,20.392561,2000
2010-08-17,22.990000,22.990000,22.600000,22.969999,21.243418,1200
2010-08-18,22.950001,23.230000,22.370001,22.600000,20.901226,2700
2010-08-19,22.750000,22.750000,21.760000,22.650000,20.947466,900
2010-08-20,22.650000,23.750000,21.600000,22.500000,20.808746,1400
2010-08-23,22.010000,22.730000,21.350000,22.110001,20.448061,3900
2010-08-24,21.820000,21.910000,19.459999,20.690001,19.134798,7300
2010-08-25,21.200001,21.299999,21.000000,21.010000,19.430750,800
2010-08-26,20.780001,20.799999,19.719999,20.690001,19.134798,1600
2010-08-27,21.500000,21.559999,21.500000,21.500000,19.990191,1600
2010-08-30,21.090000,21.500000,21.090000,21.480000,19.971594,600
2010-08-31,21.700001,22.719999,21.540001,22.719999,21.124519,700
2010-09-01,22.000000,22.410000,21.700001,22.150000,20.594543,1500
2010-09-02,21.299999,21.299999,21.299999,21.299999,19.804235,500
2010-09-03,21.500000,21.500000,21.490000,21.500000,19.990191,1200
2010-09-07,22.120001,22.139999,22.120001,22.139999,20.585247,500
2010-09-08,22.139999,22.139999,22.139999,22.139999,20.585247,0
2010-09-09,21.799999,21.799999,21.750000,21.750000,20.222630,500
2010-09-10,21.750000,21.750000,21.530001,21.549999,20.036678,4400
2010-09-13,21.940001,22.500000,21.900000,22.250000,20.687531,1900
2010-09-14,22.500000,22.930000,22.129999,22.280001,20.715416,1900
2010-09-15,22.280001,22.280001,22.280001,22.280001,20.715416,0
2010-09-16,22.930000,22.930000,22.049999,22.080000,20.529461,2100
2010-09-17,22.110001,22.410000,22.049999,22.350000,20.780499,2000
2010-09-20,22.350000,22.600000,22.350000,22.400000,20.826990,3000
2010-09-21,22.959999,23.360001,22.379999,22.500000,20.919968,4300
2010-09-22,22.549999,22.549999,22.350000,22.389999,20.817696,5300
2010-09-23,22.389999,22.389999,22.389999,22.389999,20.817696,0
2010-09-24,22.389999,22.389999,22.389999,22.389999,20.817696,0
2010-09-27,22.650000,22.750000,22.500000,22.750000,21.152411,5800
2010-09-28,22.510000,22.510000,22.410000,22.410000,20.836285,800
2010-09-29,22.410000,22.410000,22.410000,22.410000,20.836285,300
2010-09-30,23.000000,23.000000,23.000000,23.000000,21.384855,700
2010-10-01,23.000000,23.100000,22.410000,22.410000,20.836285,1900
2010-10-04,23.000000,23.250000,22.969999,23.000000,21.384855,2600
2010-10-05,23.000000,23.250000,22.450001,23.000000,21.384855,4000
2010-10-06,22.549999,23.150000,22.410000,23.150000,21.524319,2300
2010-10-07,23.250000,23.250000,23.160000,23.250000,21.617300,500
2010-10-08,22.610001,22.980000,22.490000,22.950001,21.338367,2500
