Date,Open,High,Low,Close,Adj Close,Volume
2010-07-27,32.224998,32.514999,31.684999,31.830000,28.542797,469800
2010-07-28,31.690001,32.075001,31.195000,31.315001,28.080982,231200
2010-07-29,31.535000,31.764999,30.889999,31.379999,28.139271,214800
2010-07-30,30.875000,31.665001,30.680000,31.525000,28.269295,288200
2010-08-02,32.564999,33.459999,32.564999,33.325001,29.883402,735600
2010-08-03,33.115002,33.645000,32.755001,32.889999,29.493326,292600
2010-08-04,32.970001,33.705002,32.935001,33.660000,30.183804,324600
2010-08-05,33.395000,33.985001,33.275002,33.895000,30.394535,536400
2010-08-06,33.395000,34.180000,33.145000,34.115002,30.591816,445800
2010-08-09,34.209999,34.599998,34.040001,34.224998,30.690462,300400
2010-08-10,33.750000,34.375000,33.634998,33.924999,30.421440,332200
2010-08-11,33.080002,33.320000,32.009998,32.189999,28.865616,482200
2010-08-12,31.600000,32.334999,31.270000,32.084999,28.771460,294400
2010-08-13,32.049999,32.500000,31.700001,31.955000,28.654886,381200
2010-08-16,31.514999,32.509998,31.370001,32.235001,28.905977,218600
2010-08-17,32.619999,33.584999,32.509998,33.195000,29.766834,246800
2010-08-18,32.965000,33.775002,32.494999,33.110001,29.690601,300600
2010-08-19,32.794998,33.375000,32.150002,32.294998,28.959770,448600
2010-08-20,33.965000,34.005001,32.049999,32.480000,29.125668,621600
2010-08-23,32.759998,32.900002,31.875000,31.889999,28.596601,353200
2010-08-24,31.510000,32.160000,30.879999,31.790001,28.506927,598600
2010-08-25,31.500000,32.325001,31.225000,32.205002,28.879074,367400
2010-08-26,32.294998,32.799999,31.705000,31.959999,28.659370,315400
2010-08-27,32.305000,32.985001,31.764999,32.875000,29.577047,305200
2010-08-30,32.619999,32.744999,31.629999,31.635000,28.461435,299400
2010-08-31,31.504999,32.450001,31.389999,32.084999,28.866295,346000
2010-09-01,32.994999,33.650002,32.564999,33.325001,29.981899,394800
2010-09-02,33.334999,34.090000,33.060001,34.044998,30.629667,340400
2010-09-03,34.525002,34.910000,34.389999,34.660000,31.182991,384800
2010-09-07,34.965000,34.965000,33.895000,34.000000,30.589193,297400
2010-09-08,34.145000,34.455002,33.965000,34.090000,30.670162,309200
2010-09-09,34.450001,34.549999,33.820000,34.060001,30.643167,316000
2010-09-10,34.200001,34.369999,33.965000,34.110001,30.688166,315200
2010-09-13,34.544998,35.139999,34.035000,34.985001,31.475363,500000
2010-09-14,34.935001,35.205002,34.709999,34.994999,31.484375,342200
