Date,Open,High,Low,Close,Adj Close,Volume
2010-07-28,45.230000,45.759998,44.020000,44.369999,40.664246,14747200
2010-07-29,44.869999,45.150002,43.000000,43.770000,40.114357,13941000
2010-07-30,43.169998,44.889999,42.970001,44.330002,40.627586,11967700
2010-08-02,45.500000,47.150002,45.150002,46.810001,42.900459,13220400
2010-08-03,46.770000,47.980000,46.619999,47.000000,43.074585,10593900
2010-08-04,47.340000,48.220001,46.959999,48.080002,44.064392,11259700
2010-08-05,47.820000,47.959999,47.240002,47.669998,43.688629,7297000
2010-08-06,47.080002,48.669998,47.040001,48.500000,44.449303,11981100
2010-08-09,49.090000,49.150002,48.340000,48.860001,44.825451,7052900
2010-08-10,48.060001,48.200001,47.139999,47.799999,43.852989,10139300
2010-08-11,46.259998,46.790001,45.099998,45.320000,41.577770,9336700
2010-08-12,44.259998,45.669998,44.099998,45.139999,41.412621,9414800
2010-08-13,45.220001,46.130001,44.990002,45.099998,41.375935,8060100
2010-08-16,45.110001,46.220001,44.799999,45.400002,41.651161,7281700
2010-08-17,46.439999,48.189999,46.270000,47.320000,43.412613,11463700
2010-08-18,47.240002,50.590000,46.770000,49.590000,45.495182,28167800
2010-08-19,50.590000,51.389999,47.660000,47.779999,43.834633,23163800
2010-08-20,47.700001,47.869999,46.009998,47.060001,43.174091,14370000
2010-08-23,47.310001,47.660000,45.570000,45.630001,41.862167,10826400
2010-08-24,44.270000,44.990002,43.439999,43.529999,39.935574,13290700
2010-08-25,43.189999,43.580002,42.099998,42.820000,39.284191,14193000
2010-08-26,43.430000,43.730000,41.860001,42.000000,38.531906,10084500
2010-08-27,42.709999,43.910000,41.500000,43.709999,40.100704,12497000
2010-08-30,43.439999,43.810001,41.869999,41.910000,38.449341,10236100
2010-08-31,41.680000,43.650002,41.680000,42.490002,38.981434,12142300
2010-09-01,44.029999,44.669998,43.500000,44.439999,40.770424,10529600
2010-09-02,44.650002,45.599998,43.959999,45.299999,41.559414,9605300
2010-09-03,46.349998,46.500000,45.610001,45.990002,42.192436,9552400
2010-09-07,45.849998,48.750000,45.799999,48.090000,44.119045,25123200
2010-09-08,48.369999,49.139999,47.939999,48.090000,44.119045,15552600
2010-09-09,48.990002,49.060001,46.060001,46.910000,43.036469,16185500
2010-09-10,46.790001,47.889999,46.049999,47.450001,43.531879,9691100
2010-09-13,48.520000,48.900002,48.000000,48.310001,44.320873,9403000
2010-09-14,47.349998,47.689999,46.529999,46.830002,42.963070,14828400
2010-09-15,46.549999,46.720001,45.400002,45.779999,41.999783,15465100
2010-09-16,45.520000,46.990002,45.500000,46.490002,42.651150,11018800
2010-09-17,47.009998,47.029999,46.000000,46.200001,42.385101,8778700
2010-09-20,45.500000,45.660000,44.349998,45.439999,41.687859,14728600
2010-09-21,45.520000,45.599998,44.509998,44.990002,41.275017,12964300
2010-09-22,45.459999,46.000000,43.410000,43.490002,39.898880,17191700
2010-09-23,42.980000,43.330002,41.799999,42.000000,38.531906,18815200
2010-09-24,42.910000,43.320000,42.459999,43.230000,39.660336,15472700
2010-09-27,43.470001,43.470001,42.650002,42.790001,39.256687,9344000
2010-09-28,43.049999,43.779999,42.590000,43.660000,40.054836,10514800
2010-09-29,43.310001,44.669998,43.130001,44.310001,40.651157,11449400
2010-09-30,44.950001,45.130001,43.330002,43.840000,40.219963,11209400
2010-10-01,44.720001,44.950001,43.209999,43.630001,40.027309,12299200
2010-10-04,43.110001,43.110001,41.889999,42.419998,38.917229,11985600
2010-10-05,43.110001,43.439999,42.049999,43.000000,39.449337,13990900
2010-10-06,42.900002,44.430000,42.849998,44.080002,40.440151,13052600
2010-10-07,44.529999,44.639999,43.450001,44.459999,40.788784,13062800
2010-10-08,44.660000,46.200001,44.520000,45.919998,42.128220,14201800
2010-10-11,46.040001,46.650002,45.330002,45.619999,41.852993,8841400
2010-10-12,44.889999,44.959999,44.270000,44.830002,41.128223,11301700
2010-10-13,45.340000,45.480000,44.070000,44.889999,41.183258,14469800
2010-10-14,44.820000,44.900002,43.509998,43.860001,40.238316,10540500
2010-10-15,44.320000,44.400002,43.099998,43.680000,40.073181,10783100
2010-10-18,43.360001,44.439999,43.200001,44.310001,40.651157,9114300
2010-10-19,43.520000,43.599998,42.150002,42.509998,38.999798,15305300
2010-10-20,42.830002,43.500000,42.450001,43.080002,39.522728,9789600
2010-10-21,43.250000,43.299999,41.299999,42.230000,38.742905,13661600
2010-10-22,42.349998,42.570000,41.570000,42.279999,38.788795,8285700
